"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения, что авто создан","2740","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:41:30 UTC 2025","broken","Wed Aug 20 05:41:32 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка, что созданный авто находится в таблице","2692","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:42:20 UTC 2025","broken","Wed Aug 20 05:42:22 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка создания дома","656","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:30 UTC 2025","passed","Wed Aug 20 05:39:30 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка изменения авто дома","646","Проверка изменения дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:34 UTC 2025","passed","Wed Aug 20 05:39:35 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка удаления дома","640","Проверка удаления дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:36 UTC 2025","passed","Wed Aug 20 05:39:37 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка, что созданный пользователь находится в таблице","2748","Проверка, что созданный пользователь находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:36 UTC 2025","broken","Wed Aug 20 05:40:39 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка получения токена для авторизации","387","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:26 UTC 2025","passed","Wed Aug 20 05:39:26 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2245","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:34 UTC 2025","passed","Wed Aug 20 05:39:36 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка удаления авто","621","Проверка удаления авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:35 UTC 2025","passed","Wed Aug 20 05:39:36 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка пользователя в БД","1535","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:39 UTC 2025","passed","Wed Aug 20 05:39:41 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка сообщения, что дом создан","3810","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:41:42 UTC 2025","broken","Wed Aug 20 05:41:46 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
"Проверка создания пользователя статус кода 201","2744","Проверка создания пользователя статус кода 201","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:23 UTC 2025","broken","Wed Aug 20 05:40:26 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка создания авто","645","Проверка создания авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:29 UTC 2025","passed","Wed Aug 20 05:39:29 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка удаления авто","2679","Проверка удаления авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:43:26 UTC 2025","broken","Wed Aug 20 05:43:28 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","2338","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:31 UTC 2025","passed","Wed Aug 20 05:39:33 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка добавление денег пользователю","2754","Проверка добавление денег пользователю","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:46 UTC 2025","broken","Wed Aug 20 05:39:49 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка добавления денег пользователю","635","Проверка добавления денег пользователю","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:26 UTC 2025","passed","Wed Aug 20 05:39:27 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка, что пользователь не может войти в систему с некорректным email","2405","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:26 UTC 2025","passed","Wed Aug 20 05:39:28 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка получения дома","631","Проверка получения дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:32 UTC 2025","passed","Wed Aug 20 05:39:32 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка авто в БД","1764","Проверка создания авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:37 UTC 2025","passed","Wed Aug 20 05:39:39 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка изменения авто авто","710","Проверка изменения авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:33 UTC 2025","passed","Wed Aug 20 05:39:33 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка, что пользователь может купить авто","2725","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:11 UTC 2025","broken","Wed Aug 20 05:40:14 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка статус-кода при успешном заселения пользователя","2711","Проверка на заселение пользователя в дом","DiplomaTeam2 RegressionTest","Wed Aug 20 05:44:24 UTC 2025","broken","Wed Aug 20 05:44:27 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkStatusIfUserSettleInHouse"
"Проверка создания дома","1514","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:41 UTC 2025","passed","Wed Aug 20 05:39:42 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Поиск пользователя в таблице Read one by ID","2708","Проверка привязки пользователя к дому после заселения","DiplomaTeam2 RegressionTest","Wed Aug 20 05:45:05 UTC 2025","broken","Wed Aug 20 05:45:08 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkUserIDInTableReadOneById"
"Поиск пользователя в таблице Read one by ID после выселения","2688","Проверка привязки пользователя к дому после выселения","DiplomaTeam2 RegressionTest","Wed Aug 20 05:44:52 UTC 2025","broken","Wed Aug 20 05:44:54 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkUserIdInTableReadOneByIdIsEmpty"
"Проверка получения авто","622","Проверка получения авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:31 UTC 2025","passed","Wed Aug 20 05:39:31 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2314","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:28 UTC 2025","passed","Wed Aug 20 05:39:31 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка статус-кода при успешном выселении пользователя","2704","Проверка на выселения пользователя в дом","DiplomaTeam2 RegressionTest","Wed Aug 20 05:44:37 UTC 2025","broken","Wed Aug 20 05:44:40 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkStatusIfUserSEvictInHouse"
"Проверка сообщения, что авто не создан","2690","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:41:55 UTC 2025","broken","Wed Aug 20 05:41:58 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Создание пользователя API","626","Проверка создания пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:27 UTC 2025","passed","Wed Aug 20 05:39:28 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка получения пользователя","284","Проверка получения пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:28 UTC 2025","passed","Wed Aug 20 05:39:28 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка удаления пользователя код 204 и отсутствие в таблице","2758","Проверка удаления пользователя код 204 и отсутствие в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:59 UTC 2025","broken","Wed Aug 20 05:40:01 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
